category,attitude,title,description
Personal Life,neutral,"What? Justin Trudeau reunites with ex-wife Sophie Gr‚goire Trudeau and kids, after pictures with Katy Perry go viral-- Here's why","Justin Trudeau is reportedly dating Katy Perry, with intimate yacht photos fueling romance rumors. Amidst this, he reunited with ex-wife Sophie Gr‚goi"
Personal Life,neutral,Justin Trudeau and Katy Perry Dating Rumor,Justin Trudeau and Katy Perry Dating Rumor refers to a rumored relationship between former Canadian Prime Minister Justin Trudeau and American pop singer K
Resignation,negative,Watch: Profile | Canadian Prime Minister Justin Trudeau,"Justin Trudeau resigned as Canada?s Prime Minister and Liberal Party leader on January 6th, 2025. His announcement came amid rising discontent over his leader..."
Personal Life,neutral,Are Katy Perry and Justin Trudeau dating?,Photos of pop star and ex Canadian PM getting cosy on a yacht spark social media frenzy
Resignation,negative,Trudeau may quit as Canadian PM ? media,Justin Trudeau is reportedly expected to step down as Liberal Party leader due to policy disputes
Personal Life,negative,Justin Trudeau: Justin Trudeau trolled for 2011's 'porn site QR code problem' post. Here's what happened back then,US News: Canadian Prime Minister Justin Trudeau's 2011 social media post about a QR code mishap resurfaced amidst criticism of his attendance at a Taylor Swift
Resignation,negative,Trudeau removes himself from the equation,"In announcing his intention to step away now, the prime minister creates two challenges ?ÿone for himself and one for his successor."
Personal Life,positive,Katy Perry Reportedly Finds Justin Trudeau ?Attractive?,"A new report concerning dating rumors surrounding Justin Trudeau and Katy Perry has emerged. It alleges the pair has an ""easy connection."""
Personal Life,neutral,Diplo Trolls Internet With Suspicious Justin Trudeau Selfie,"Diplo shares a selfie with Justin Trudeau and Katy Perry, as a playful jab at his former flame and her new partner."
Resignation,negative,Is Justin Trudeau about to resign?,"Over the last two weeks, Prime Minister Justin Trudeau has faced new and growing calls to resign. Could he finally step down this week?"
Canadian Politics,neutral,Canadian Prime Minister Justin Trudeau wins second term,Canadian Prime Minister Justin Trudeau won a second term Monday. Trudeau faced a close race against conservative Andrew Scheer following a series of scandals la...
Resignation,negative,Canada's PM Justin Trudeau to step down,The embattled prime minister will leave office once a new leader is chosen.
Personal Life,neutral,"Katy Perry, Justin Trudeau Seen Kissing on Yacht",Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau were seen engaging in some hot and heavy PDA while on the
Resignation,negative,Trudeau exit shakes up Canadian politics,"OTTAWA - Justin Trudeau is resigning after more than nine years as Canada?s prime minister, bowing to dreadful polls and a rebellion within his governing Libe..."
US Relations,negative,Trump Trolls Justin Trudeau After Canadian Finance Minister Resigns,President-elect Donald Trump trolled Canadian Prime Minister Justin Trudeau after Finance Minister Chrystia Freeland resigned.
Canadian Politics,negative,"Assessing the Trudeau record, real and imagined",Declining support for the Liberal Party should not be confused with declining support for progressive policies that create communities where all can thrive.
US Relations,positive,Trudeau reports ?excellent conversation? with Trump,Canadian Prime Minister Justin Trudeau says he has had an ?excellent conversation? with Donald Trump at his Mar-a-Lago club following the US president-elect...
Canadian Politics,negative,Trudeau faces political crisis as Chrystia Freeland resigns,"In a letter to Trudeau, Chrystia Freeland said, ?For the last number of weeks, you and I have found ourselves at odds over the best path forward for Canada.?..."
Resignation,negative,"Trudeau prorogues Parliament, resigns as Liberal Party leader",Conservative Leader Pierre Poilievre has repeatedly stated that Trudeau lost government control and repeated calls for an election.
Resignation,negative,"Justin Trudeau: The Good, the Bad, and the Ugly","By quitting, Trudeau might just save the Liberals from an epic electoral disaster."
Resignation,negative,Canada?s PM Justin Trudeau Announces Resignation,The Canadian leader's popularity was seriously damaged by the recent resignation of former Deputy Prime Minister Chrystia Freeland of Toronto.
Personal Life,neutral,Justin Trudeau & Katy Perry: Romance rumours heat up,"Pictures of former Canada PM Justin Trudeau and pop star Katy Perry kissing on a yacht go viral, fueling romance rumours. Read more at straitstimes.com."
Personal Life,neutral,Katy Perry Soft-Launched Justin Trudeau on Instagram,"About six months after she hard-launched into space, Katy Perry soft-launched her relationship with Justin Trudeau in a blink-and-you?ll-miss-it cameo in a vi..."
Personal Life,neutral,Justin Trudeau 'crazy' about 'perfect' Katy Perry,"Justin Trudeau 'crazy' about 'perfect' Katy Perry, sources tell Page Six. The pair were recently seen on their first public date in Paris."
Personal Life,neutral,"Katy Perry, Justin Trudeau Spotted Kissing on Yacht",The popstar and former Canadian Prime Minister appear to have confirmed dating rumours
Canadian Politics,negative,Trudeau faces frustrated MPs after Chrystia Freeland's shock resignation,Prime Minister Justin Trudeau faced frustrated MPs at a hastilyÿarranged caucus meeting late Monday following Chrystia Freeland's shocking decision to resign f...
US Relations,positive,Trudeau gets smiles with stern speech to President 'Donald',"Prime Minister Justin Trudeau struck an informal tone on Tuesday, addressing the U.S. president several times as just ?Donald? in a speech that was broadcas..."
Resignation,negative,Trudeau goneburger,"Canadian PM Justin Trudeau is resigning this week, in advance of a no confidence vote in his Government he was going to lose. The majority of his MPs had called..."
Personal Life,neutral,Katy Perry Spotted With Justin Trudeau,"Katy Perry was seen dining and bar-hopping in Montreal with Justin Trudeau, sparking dating rumors just weeks after her split from Orlando Bloom. Here?s every..."
US Relations,negative,Trump Trudeau Dinner: Did Trump make Trudeau spend the night at a hotel? Here's the truth behind viral X post,US News: An X post that claimed that Donald Trump did not ask Justin Trudeau to stay at Mar-a-Lago at night after their dinner went viral with social media use
Canadian Politics,negative,Why's Trudeau Sticking Out His Tongue?,Canada's outgoing Prime Minister Justin Trudeau carries his chair from the House of Commons on Parliament Hill in Ottawa.
Personal Life,neutral,Justin Trudeau Attends Katy Perry Concert in Montreal,Justin Trudeau attended Katy Perry?s Montreal concert ? 2 days after being spotted having dinner and cozy drinks together.
Canadian Politics,negative,When will Canada hear from Justin Trudeau?,Trudeau leaves Canada in suspense as anxious Liberals urge him to go.
Canadian Politics,positive,"Maybe Canadians were the problem, not Trudeau",Canada has struggled to address key challenges for nearly a generation. This failure was bipartisan and it stems from stems from Canadians simply not wanting to...
Resignation,negative,Canadian 'Governor' Trudeau Mocked After Announcing Plans to Resign,Americans soundly mocked Canadian Prime Minister Justin Trudeau on Monday after he announced plans to resign his post.
Personal Life,neutral,Trudeau spotted at Katy Perry concert days Montreal date,"Justin Trudeau was spotted in the crowd at Katy Perry?s concert in Montreal, days after duo dined together in the city."
Personal Life,positive,Justin Trudeau & Katy Perry ?Value Connections? ? Report,Sources close to Katy Perry have claimed that the singer is currently 'in a great place' with respect to her romance with Justin Trudeau.
Personal Life,negative,Sophie Gr‚goire Trudeau: All about the estranged wife of former Canadian PM caught in the middle of Justin Trudeau-Katy Perry romance,"Canadian Prime Minister Justin Trudeau's rumored romance with Katy Perry is gaining traction, with the pair recently vacationing together. This comes"
Personal Life,positive,"Katy Perry & Justin Trudeau Click Really Well, Says ?Source?","Katy Perry and Justin Trudeau, who recently enjoyed a dinner night in Montreal, reportedly like ""chatting"" with one another."
Personal Life,neutral,Katy Perry Jokes About Englishmen Amid Justin Trudeau Romance,"Katy Perry seemingly teased her romance with Justin Trudeau during her London concert, joking about her history with Englishmen and moving on"
Canadian Politics,negative,Trudeau on the brink after chaotic day in Ottawa,Canada's politics were thrown into chaos after the sudden exit of the country's finance minister.
Canadian Politics,negative,Treasury Secretary Scott Bessent: Justin Trudeau Is a ?Numbskull?,"Secretary of the Treasury Scott Bessent called Canadian Prime Minister Justin Trudeau a ""numbskull"" on Thursday, in response toÿTrudeau declaring Canada will c..."
US Relations,neutral,Canada will never join US ? Trudeau,US President Donald Trump has repeatedly suggested incorporating Canada as the 51st state
Canadian Politics,negative,Quebec Liberal caucus wants Trudeau to resign: sources,"Quebec MPs are adding to the pressure on Prime Minister Justin Trudeau to step aside as leader. The province's caucus chair, St‚phane Lauzon, consulted with MP..."
US Relations,positive,Trudeau slams Trump's tariffs as stocks plunge,Canadian Prime Minister Justin Trudeau is calling out President Trump's tariffs levied. This comes as the stock markets show signs of panic among investors over...
Canadian Politics,negative,Where does Justin Trudeau go without Chrystia Freeland?,"No minister is ever truly irreplaceable. But aside from Trudeau himself, no minister has been more central to this Liberal government than Freeland.ÿHer explos..."
Canadian Politics,negative,Why Canada Fell Out of Love with Justin Trudeau,He promised sunny ways but left behind a divided country
Personal Life,neutral,A timeline of Justin Trudeau and Katy Perry?s relationship,Former prime minister Justin Trudeau and pop star Katy Perry have been linked since this summer when they were spotted out together in Montreal. With a recent o...
Personal Life,neutral,Justin Trudeau Attends Katy Perry 'Lifetimes' Concert in Montreal,Justin Trudeau attended Katy Perry's 'Lifetimes Tour' in Montreal days after the two were spotted walking her dog and dining together
Resignation,negative,Ten (Other) Times Justin Trudeau Could Have Stepped Down,There have been a lot of scandals
Personal Life,neutral,Katy Perry & Justin Trudeau Pack on PDA in the Pacific,Katy Perry and a topless Justin Trudeau were spotted getting hot and heavy after months of rumored romance.
Resignation,negative,Trudeau resigns as Liberal Party leader after growing pressure,Canadian Prime MinisterÿJustin Trudeauÿannounced his resignation on Jan. 6 in theÿface of rising discontentÿover his leadership and after theÿabrupt depart...
Personal Life,negative,Trolls Have a Field Day over Trudeau-Perry Kiss,Netizens question both private integrity and public accountability of ex Canadian PM
Canadian Politics,neutral,What will Canada's second Trudeau era leave behind?,It is impossible in the present to know what history will remember. But Justin Trudeau?s time as a maker of history is now within sight. It is not too early t...
Canadian Politics,positive,"Trudeau delivers Christmas message, thanks essential workers","Prime Minister Justin Trudeau, in a pre-recorded message, offered Christmas wishes and thanked all essential workers who were on the job so others could celebra..."
US Relations,positive,Trudeau: Canada ?will respond? if Trump imposes tariffs,"Canadian Prime Minister Justin Trudeau has warned of retaliatory measures if US President-elect Donald Trump imposes new tariffs, citing the success o"
Canadian Politics,positive,How Justin Trudeau won and lost the public's adoration,"In his early days as prime minister, Justin Trudeau was ""cool."" In the year that followed his majority sweep into power, he appeared in the pages of Vogue, on t..."
Canadian Politics,negative,Trudeau to appear at Liberal fundraiser tonight,"Chrystia Freeland, Canada's finance minister, said in an explosive letter published Monday morning that she will quit cabinet. Follow along for live updates."
US Relations,positive,"U.S.-Canada alliance stronger because of Trudeau, Biden says - National","The outgoing U.S. president listed a range of issues that he and Trudeau worked on together, 'from the COVID-19ÿpandemic, to climate change, toÿthe scourge of..."
Resignation,negative,Canadian Prime Minister Justin Trudeau announces his resignation,"Canadian Prime Minister Justin Trudeau has announced his resignation, telling the media that ?internal battles? mean he ?cannot be the best option? in t..."
US Relations,positive,Trudeau slams Trump?s ?dumb? tariffs as economic war on Canada,"Trudeau blasts Trump?s tariffs as an attack on Canada?s economy, warning of severe consequences for both nations."
US Relations,positive,Trudeau announces Canada-U.S. Economic Summit for Friday,"With the threat of punishing tariffs on pause but still hovering over the Canadian economy, Prime Minister Justin Trudeau announced the government will host a C..."
US Relations,positive,Trudeau calls for calm in face of Trump's tariff threat,"Canadians need to remain calm in the face of U.S. president-elect Donald Trump?s threat to impose 25 per cent tariffs on all imports from Canada, Prime Minist..."
US Relations,positive,Tariffs on Canada also postponed after Trump-Trudeau talks,"After agreeing with Mexico's Claudia Sheinbaum on a one-month pause for the imposition of 25% tariffs, US President Donald Trump reached an understanding Monday..."
US Relations,neutral,Why Donald Trump has a rocky relationship with Justin Trudeau?,"The relationship remains strained, with significant economic stakes for Canada. If tensions escalate further, the impact on Canada?s economy could be serious"
Personal Life,neutral,Photo shows Justin Trudeau kissing Katy Perry on a yacht,"The former prime minister of Canada was seen kissing the Grammy-nominated pop star on her yacht off the coast of Santa Barbara, Calif."
Personal Life,neutral,Justin Trudeau Subtly References Katy Perry With Fintastic Halloween Costume,Justin Trudeau paid subtle homage to Katy Perry amid the pair?s growing romance with his Halloween costume?an inflatable shark.
Canadian Politics,negative,Matthew Lau: Canada's Trudeau-induced economic coma,"No matter what metric you look at ? GDP, business investment, jobs, taxes, crime or identity politics ? the figures are grim"
Resignation,negative,Why is Justin Trudeau resigning? Explaining the Canadian PM's political woes,"A decade ago, Canadian Prime Minister Justin Trudeau was a shining figure in international diplomacy. Now he's resigning"
Resignation,negative,Justin Trudeau resigns as Liberal leader: Follow live updates,Prime Minister Justin Trudeau has stepped down as Liberal leader. Follow along for live updates from CTVNews.ca.
Personal Life,neutral,Justin Trudeau Thirsts Over Katy Perry At Her Concert,"The internet is in a frenzy after seeing video footage of Justin Trudeau oogling Katy Perry at her ""Lifetimes Tour"" stop in Montreal July 30."
Resignation,negative,Trudeau to step down as Canada's PM,
Personal Life,neutral,"Katy Perry, Justin Trudeau seen holding hands leaving Paris club",The pair's public appearance on the pop singer's 41st birthday has added fuel to growing speculation the two are in a relationship.
Resignation,negative,Explainer: Why Canada's Justin Trudeau Is Under Pressure To Quit,Canadian Liberal Prime Minister Justin Trudeau is under increasing pressure to quit after Finance Minister Chrystia Freeland resigned over a policy clash on Mon...
Personal Life,neutral,What We Know About The Katy Perry-Justin Trudeau Dating Rumors,Rumors the pop star and ex-Canadian prime minister are dating heated up in recent days after pictures surfaced of the pair kissing and Perry dropped possible hi...
Resignation,negative,Canadian Prime Minister Justin Trudeau announces plan to resign,"Justin Trudeau will end his nine years in power, following increasing pressure from his own party to step down."
Personal Life,neutral,Katy Perry ?Likes? Post Spoofing Her Romance With Justin Trudeau,Katy Perry dropped a 'like' on a parody post from 'The Onion' about her romance with former Canadian Prime Minister Justin Trudeau
Personal Life,neutral,Justin Trudeau Attends Katy Perry?s Lifetimes Tour Amid Dating Rumors,"Justin Trudeau attended Katy Perry?s ?Lifetimes Tour in Montreal, Canada on July 30. Trudeau also brought his daughter, ?Ella-Grace, to the concert."
Resignation,negative,Trudeau announces stepping down as Canada?s prime minister,He added that he is proud to have served Canada and its people
Canadian Politics,neutral,Trudeau plans on stacking Senate before retiring: source,"Prime Minister Justin Trudeau is planning a final wave of appointments to fill the 10 vacancies in the Senate before he retires in March, Radio-Canada has learn..."
Resignation,negative,Justin Trudeau says he'll resign as prime minister of Canada,"The development comes a month after Canada's deputy prime minister, Chrystia Freeland, resigned suddenly from Trudeau's cabinet."
Resignation,negative,Justin Trudeau announces he will resign as Canada's Prime Minister,Canadian Prime Minister Justin Trudeau has announced he will step down as leader of the ruling Liberals after nine years in office but will stay on in his post ...
Resignation,negative,"Justin Trudeau Exits Parliament Race, Ending His Political Career for Now",Radical leftist Prime Minister of Canada Justin Trudeau confirmed on Wednesday that he would not be running for a seat in Parliament.
US Relations,negative,"Major reshuffle as Trudeau faces party pressure, Trump taunts","Canadian Prime Minister Justin Trudeau on Friday shook up his cabinet, changing one-third of his team as political turmoil threatens his leadership and tensions..."
Resignation,negative,Trudeau announces his resignation as Prime Minister of Canada,Justin Trudeau announced Monday his resignation as Prime Minister of Canada after nine years in office. His stepping down would become effective once the Libera...
